id,name,privacy,members_approx,members_label,activity,friends_in_group,is_member,member_since,unread_signal,recent_members_signal,relevance_tier,search_query,source_date,account_observed,notes
1,Rentas Guadalajara Oficial,Público,57000,57 mil miembros,20+ publicaciones al día,1,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
2,"Rentas por CUCS, Centro Medico y Hospitales Civiles Guadalajara",Privado,3000,3 mil miembros,10+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
3,Casas y departamentos amueblados en guadalajara,Público,91000,91 mil miembros,20+ publicaciones al día,7,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
4,Renta de cuartos en Guadalajara centro,Público,9600,9.6 mil miembros,10+ publicaciones al día,1,yes,,,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),joined_or_requested 2026-08-01 (user confirmed; private may be pending)
5,RENTA de CASAS y DEPTOS en GUADALAJARA ヅ,Público,204000,204 mil miembros,90+ publicaciones al día,12,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
6,Hospedaje GDL Students (Accommodation),Público,6300,6.3 mil miembros,4 publicaciones al día,8,yes,,,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),joined_or_requested 2026-08-01 (user confirmed; private may be pending)
7,"Busco Roomies, Comparto Depa, Renta de Cuartos Guadalajara, Roomie GDL",Público,434,434 miembros,6 publicaciones al día,,yes,,,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),joined_or_requested 2026-08-01 (user confirmed; private may be pending)
8,DEPARTAMENTOS EN RENTA GUADALAJARA Y ZAPOPAN TRATO DIRECTO,Público,186000,186 mil miembros,90+ publicaciones al día,15,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
9,Renta Casa Guadalajara,Público,14000,14 mil miembros,20+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
10,Renta de Casas en Guadalajara,Público,89000,89 mil miembros,70+ publicaciones al día,6,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
11,Renta de Cuarto Habitacion en Guadalajara Jalisco ZMG Romiee GDL,Público,2700,2.7 mil miembros,10+ publicaciones al día,,yes,,,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),joined_or_requested 2026-08-01 (user confirmed; private may be pending)
12,Departamentos en Renta Guadalajara y Zapopan,Público,12000,12 mil miembros,10+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
13,ROOMIES RENTA DE CUARTOS ITESO Y UVM,Público,2900,2.9 mil miembros,10+ publicaciones al día,1,yes,,,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),joined_or_requested 2026-08-01 (user confirmed; private may be pending)
14,Renta Hogares Guadalajara-Zapopan,Público,23000,23 mil miembros,30 publicaciones al día,3,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
15,Rentas para Estudiantes Guadalajara,Público,1500,1.5 mil miembros,,,yes,,,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),joined_or_requested 2026-08-01 (user confirmed; private may be pending)
16,RENTA DE CUARTOS GUADALAJARA,Público,6700,6.7 mil miembros,30+ publicaciones al día,,yes,,,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),joined_or_requested 2026-08-01 (user confirmed; private may be pending)
17,Casas y departamentos en renta en Guadalajara,Público,81000,81 mil miembros,60 publicaciones al día,4,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
18,Departamentos en Guadalajara,Público,12000,12 mil miembros,90+ publicaciones al día,1,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
19,"Renta de casas y departamentos amueblados Zapopan, Guadalajara y ZMG",Público,4000,4 mil miembros,10+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
20,Rentas Depas UP - Guadalajara,Público,3700,3.7 mil miembros,20+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
